"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ae_layer","batch_size","branch1_layer","branch_layer","branch_weight","kl_weight","latent_dim","latent_space","learning_rate","loss_scalar","optimizer","var1","var2","var3","ae_loss","branch1_loss","branch_loss","epoch","kl","loss","recon_loss","v_ae_loss","v_branch1_loss","v_loss","vars"
"glowing-sweep-6","crashed","-","sophied","","2022-05-28T21:55:12.000Z","13217","jbdkj4jg","11","","","5","18.186531864171428","0.07134437155080468","","","0.0022355968260364587","","","","","","","","","","","","","","","",""
"tough-sweep-5","failed","-","sophied","","2022-05-28T21:53:16.000Z","9","jbdkj4jg","7","","","4","74.45202011930392","0.8300724234270794","","","0.003915027210854147","","","","","","","","","","","","","","","","A+B+C+D"
"trim-sweep-4","failed","-","sophied","","2022-05-28T21:53:06.000Z","7","jbdkj4jg","9","","","6","51.16905160428278","0.13841681914892337","","","0.004722495290621014","","","","","","","","","","","","","","","","A+B+C+D"
"crimson-sweep-3","failed","-","sophied","","2022-05-28T21:52:56.000Z","8","jbdkj4jg","19","","","9","90.50029228204134","0.8785387194334078","","","0.003467292494388593","","","","","","","","","","","","","","","","A+B+C+D"
"volcanic-sweep-2","crashed","-","sophied","","2022-05-28T21:52:31.000Z","0","jbdkj4jg","17","","","5","71.5964964028113","0.2223602044936556","","","0.002072072069970588","","","","","","","","","","","","","","","",""
"chocolate-sweep-1","crashed","-","sophied","","2022-05-28T21:52:26.000Z","0","jbdkj4jg","11","","","8","33.97448868787764","0.19236811518391148","","","0.0027672443734030197","","","","","","","","","","","","","","","",""
"azure-sweep-2","crashed","-","sophied","","2022-04-14T13:57:59.000Z","0","k3hiuw5i","14","292","9","","","","7","","0.002746279895222393","2.0980653516751637","","","","","","","","","","","","","","",""
"elated-sweep-1","finished","-","sophied","","2022-04-14T13:57:01.000Z","51","k3hiuw5i","9","309","5","","","","5","","0.00014659727255730674","1.4584367146735164","","","","","0.3111995458602905","0.48630231618881226","","24","","0.7975018620491028","","0.6142050623893738","0.481453150510788","1.0956581830978394",""
"deft-sweep-2","crashed","-","sophied","","2022-04-14T13:56:28.000Z","0","grvd3po5","7","140","5","","","","2","","0.0035855637895574224","2.417122608606763","","","","","","","","","","","","","","",""
"quiet-sweep-1","crashed","-","sophied","","2022-04-14T13:54:12.000Z","4228","grvd3po5","9","79","8","","","","1","","0.004170642919124805","2.2090024506704524","","","","","","","","","","","","","","",""
"olive-lake-315","finished","-","sophied","","2022-04-14T13:53:59.000Z","253","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ethereal-bee-314","crashed","-","sophied","","2022-03-31T19:59:12.000Z","15665","","","","","","","","","","","","","","","","","","","","","","","","","",""
"kind-snowball-313","finished","-","sophied","","2022-03-31T19:55:37.000Z","108","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peachy-sweep-3","crashed","-","sophied","","2022-03-26T00:57:08.000Z","0","zrmbxsjr","","","","","","","","","0.003242313874096691","","adagrad","24","23","8","","","","","","","","","","",""
"solar-sweep-2","crashed","-","sophied","","2022-03-26T00:57:03.000Z","0","zrmbxsjr","","","","","","","","","0.003729779163940141","","sgd","33","31","4","","","","","","","","","","",""
